PC;17.01.2021 13:02:20;5;0;00000001777555512980;1;92;8,1;329,99;40,74;8,1;329,99;0;5;2;2;;;;;42;False
PC;17.01.2021 13:05:06;4;0;;0;92;10;420;42;10;420;0;1;2;4;;;;;42;False
PC;17.01.2021 13:15:41;7;0;;0;22;35;857,5;24,5;31,22;764,89;0;1;5;1;;;;;24,5;True
PC;17.01.2021 13:23:11;2;0;00000001777555530984;1;22;122,44;2999,78;23,52;45,64;1073,45;0;5;5;1;;;;;24,5;True
PC;17.01.2021 13:23:33;4;0;;0;92;10;420;42;10;420;0;6;2;4;;;;;42;True
PC;17.01.2021 13:24:46;4;0;;0;92;4,76;199,92;42;4,76;199,92;1;2;2;4;;;;;42;False
PC;17.01.2021 13:26:07;3;0;00000001777555512027;1;92;24,29;999,78;41,16;24,29;999,78;1;12;2;4;;;;;42;False
PC;17.01.2021 13:37:46;2;0;00000001777555586165;1;22;21,25;499,8;23,52;21,25;499,8;0;5;5;1;;;;;24,5;False
PC;17.01.2021 13:48:58;2;0;;0;22;30;735;24,5;30;735;0;1;5;1;;;;;24,5;True
PC;17.01.2021 13:56:50;4;0;;0;60;25;1000;40;25,02;1000,8;0;6;3;2;;;;;40;True
PC;17.01.2021 14:06:08;2;0;00000001777555577613;1;22;64,12;1570,94;23,52;64,12;1508,1;0;5;5;1;;;;;24,5;True
PC;17.01.2021 14:06:12;5;0;;0;60;25;1000;40;25;1000;0;6;3;1;;;;;40;True
PC;17.01.2021 14:06:15;4;0;;0;92;23,8;999,6;42;23,8;999,6;0;6;2;4;;;;;42;True
PC;17.01.2021 14:09:19;2;0;;0;22;20,4;499,8;24,5;20,4;499,8;0;1;5;1;;;;;24,5;True
PC;17.01.2021 14:16:16;6;0;00000001777555532360;1;92;36,81;1499,64;40,74;36,81;1499,64;0;7;2;2;;;;;42;False
PC;17.01.2021 14:20:02;4;0;;0;92;11,9;499,8;42;11,9;499,8;0;6;2;4;;;;;42;True
PC;17.01.2021 14:20:04;6;0;;0;92;12;504;42;12;504;0;6;2;2;;;;;42;True
PC;17.01.2021 14:35:18;2;0;00000001777555574681;1;22;0;0;23,52;35,28;829,79;0;5;5;1;;;;;24,5;True
PC;17.01.2021 14:55:29;1;0;00000001777555505159;1;22;42,51;999,84;23,52;29,81;701,13;0;5;5;1;;;;;24,5;False
PC;17.01.2021 14:56:43;5;0;00000001777555512164;1;92;24,54;999,76;40,74;24,54;999,76;0;7;2;2;;;;;42;False
PC;17.01.2021 15:00:34;4;0;;0;92;11,9;499,8;42;11,9;499,8;0;6;2;4;;;;;42;True
PC;17.01.2021 15:01:21;2;0;00000001777555531158;1;22;212,58;4999,88;23,52;41,57;977,73;0;5;5;1;;;;;24,5;False
PC;17.01.2021 15:12:03;6;0;;0;92;7,14;299,88;42;7,14;299,88;0;6;2;2;;;;;42;True
PC;17.01.2021 15:16:04;4;0;;0;92;11,9;499,8;42;11,9;499,8;0;6;2;4;;;;;42;True
PC;17.01.2021 15:40:42;3;0;;0;92;11,9;499,8;42;11,9;499,8;0;6;2;4;;;;;42;True
PC;17.01.2021 15:43:56;4;0;;0;92;19,04;799,68;42;19,04;799,68;0;6;2;4;;;;;42;True
PC;17.01.2021 15:45:57;6;0;00000001777555586868;1;92;25;1018,5;40,74;25;1018,5;0;7;2;2;;;;;42;False
PC;17.01.2021 15:53:40;4;0;;0;92;7,14;299,88;42;7,14;299,88;1;2;2;4;;;;;42;False
PC;17.01.2021 16:03:39;2;0;00000001777555506774;1;22;51,02;1199,99;23,52;51,02;1199,99;0;5;5;1;;;;;24,5;False
PC;17.01.2021 16:28:41;2;0;;0;22;8,16;199,92;24,5;8,16;199,92;0;1;5;1;;;;;24,5;True
PC;17.01.2021 16:41:43;4;0;;0;50;22,22;999,9;45;22,22;999,9;0;6;4;1;;;;;45;True
PC;17.01.2021 16:46:50;4;0;;0;92;14,28;599,76;42;14,28;599,76;0;1;2;4;;;;;42;False
PC;17.01.2021 17:05:30;4;0;00000001777555507177;1;92;12,27;499,88;40,74;12,27;499,88;0;7;2;4;;;;;42;False
PC;17.01.2021 17:14:44;4;0;;0;92;71,42;2999,64;42;37,59;1578,78;1;2;2;4;;;;;42;False
PC;17.01.2021 17:15:13;1;0;;0;22;122,44;2999,78;24,5;53,37;1307,57;1;2;5;1;;;;;24,5;False
PC;17.01.2021 17:33:36;4;0;00000001777555506484;1;92;73,63;2999,69;40,74;34,26;1395,75;0;7;2;4;;;;;42;False
PC;17.01.2021 17:37:21;4;0;00000001777555604555;1;92;47,61;1999,62;40,74;47,61;1939,63;0;7;2;4;;;;;42;True
PC;17.01.2021 17:43:56;5;0;;0;92;23,8;999,6;42;23,8;999,6;0;6;2;2;;;;;42;True
PC;17.01.2021 17:46:41;4;0;;0;92;16,66;699,72;42;16,66;699,72;1;2;2;4;;;;;42;False
PC;17.01.2021 17:53:48;1;0;;0;22;14,28;349,86;24,5;14,28;349,86;0;1;5;1;;;;;24,5;True
PC;17.01.2021 18:05:28;3;0;00000001777555532391;1;92;15;617,4;41,16;15;617,4;1;12;2;4;;;;;42;False
PC;17.01.2021 18:10:59;3;0;00000001777555505197;1;92;0;0;40,74;30;1222,2;0;7;2;4;;;;;42;True
PC;17.01.2021 18:38:42;4;0;;0;92;7,14;299,88;42;7,14;299,88;1;2;2;4;;;;;42;False
PC;17.01.2021 19:02:38;2;0;00000001777555604487;1;22;85,03;1999,91;23,52;26,84;631,28;0;5;5;1;;;;;24,5;False
PC;17.01.2021 19:05:27;1;0;;0;22;122,44;2999,78;24,5;38,11;933,7;1;2;5;1;;;;;24,5;False
PC;17.01.2021 19:23:53;3;0;;0;95;7;322;46;7;322;1;2;1;3;;;;;46;False
PC;17.01.2021 19:25:07;2;0;;0;22;204,08;4999,96;24,5;27,82;681,59;0;1;5;1;;;;;24,5;True
PC;17.01.2021 19:29:38;2;0;;0;22;22,44;549,78;24,5;22,44;549,78;0;1;5;1;;;;;24,5;True
PC;17.01.2021 19:53:42;4;0;;0;92;71,42;2999,64;42;25,01;1050,42;0;6;2;4;;;;;42;True
PC;17.01.2021 20:22:36;2;0;;0;22;14,28;349,86;24,5;14,28;349,86;1;2;5;1;;;;;24,5;False
PC;17.01.2021 20:24:13;4;0;;0;92;23,8;999,6;42;23,8;999,6;1;2;2;4;;;;;42;False
PC;17.01.2021 20:31:41;2;0;00000001777555572113;1;22;42,51;999,84;23,52;30,41;715,24;0;5;5;1;;;;;24,5;False
PC;17.01.2021 20:39:06;2;0;;0;22;40,81;999,85;24,5;22,5;551,25;0;1;5;1;;;;;24,5;True
PC;17.01.2021 20:55:51;4;0;;0;92;4,76;199,92;42;4,76;199,92;0;6;2;4;;;;;42;True
PC;17.01.2021 21:24:49;2;0;;0;22;122,44;2999,78;24,5;33,05;809,73;1;2;5;1;;;;;24,5;False
PC;17.01.2021 21:25:00;5;0;;0;92;21,42;899,64;42;21,42;899,64;0;6;2;2;;;;;42;True
PC;17.01.2021 21:46:06;4;0;00000001777555505111;1;92;13,5;549,99;40,74;13,5;549,99;0;7;2;4;;;;;42;False
PC;17.01.2021 21:50:38;2;0;;0;22;204,08;4999,96;24,5;29,92;733,04;1;2;5;1;;;;;24,5;False
PC;17.01.2021 22:35:31;4;0;;0;92;14,28;599,76;42;14,28;599,76;0;6;2;4;;;;;42;True
PC;17.01.2021 22:40:07;3;0;00000001777555604562;1;92;47,61;1999,62;40,74;32,17;1310,61;0;7;2;4;;;;;42;True
PC;17.01.2021 22:53:20;1;0;;0;22;50;1225;24,5;49,91;1222,8;1;2;5;1;;;;;24,5;False
PC;17.01.2021 23:18:59;4;0;;0;92;23,8;999,6;42;23,8;999,6;0;6;2;4;;;;;42;True
PC;17.01.2021 23:22:06;1;0;;0;22;81,63;1999,94;24,5;55,29;1354,61;1;2;5;1;;;;;24,5;False
PC;18.01.2021 0:39:01;4;0;;0;92;14,28;599,76;42;14,28;599,76;1;2;2;4;;;;;42;False
PC;18.01.2021 1:02:29;5;0;;0;92;11,9;499,8;42;11,9;499,8;0;6;2;2;;;;;42;True
PC;18.01.2021 2:39:14;2;0;;0;22;122,44;2999,78;24,5;38,07;932,72;1;2;5;1;;;;;24,5;False
PC;18.01.2021 4:07:19;1;0;;0;22;122,44;2999,78;24,5;41,86;1025,57;1;2;5;1;;;;;24,5;False
PC;18.01.2021 4:51:44;2;0;00000001777555604692;1;22;102,04;2499,98;23,52;41,33;972,08;0;5;5;1;;;;;24,5;True
PC;18.01.2021 4:55:03;4;0;;0;92;6,83;286,86;42;6,83;286,86;0;6;2;4;;;;;42;True
PC;18.01.2021 6:50:21;1;0;;0;22;122,44;2999,78;24,5;30,01;735,25;1;2;5;1;;;;;24,5;False
PC;18.01.2021 7:00:31;4;0;;0;92;20,5;861;42;20,5;861;0;6;2;4;;;;;42;True
PC;18.01.2021 7:05:08;1;0;00000001777555587001;1;22;122,44;2999,78;23,52;41,36;972,79;0;5;5;1;;;;;24,5;True
PC;18.01.2021 7:07:47;2;0;;0;22;40;980;24,5;40;980;1;2;5;1;;;;;24,5;False
PC;18.01.2021 7:31:26;3;0;;0;92;23,8;999,6;42;23,82;1000,44;0;6;2;4;;;;;42;True
